??/?????/???,???????,CO,O3,NO2,SO2,PM10,Rel hum,Temp,Wind dir,Wind speed,PM2.5
,,at 3 m (ppm),at 3 m (ppb),at 3 m (ppb),at 3 m (ppb),at 3 m (???./??.?.),at 2 m (%RH),at 2 m ,at 10 m (Deg.M),at 10 m (m/s),at 3 m (???./??.?.)
170107,1300,-,-,-,-,-,-,-,-,-,
170107,1400,-,-,-,-,-,-,-,-,-,
170107,1500,-,-,-,-,-,-,-,-,-,
170107,1600,-,-,-,-,-,-,-,-,-,
170107,1700,-,-,-,-,-,-,-,-,-,
170107,1800,-,-,-,-,-,-,-,-,-,
170107,1900,-,-,-,-,-,-,-,-,-,
170107,2000,-,-,-,-,-,-,-,-,-,
170107,2100,-,-,-,-,-,-,-,-,-,
170107,2200,-,-,-,-,-,-,-,-,-,
170107,2300,-,-,-,-,-,-,-,-,-,
170107,2400,-,-,-,-,-,-,-,-,-,
170108,100,-,-,-,-,-,-,-,-,-,
170108,200,-,-,-,-,-,-,-,-,-,
170108,300,-,-,-,-,-,-,-,-,-,
170108,400,-,-,-,-,-,-,-,-,-,
170108,500,-,-,-,-,-,-,-,-,-,
170108,600,-,-,-,-,-,-,-,-,-,
170108,700,-,-,-,-,-,-,-,-,-,
170108,800,-,-,-,-,-,-,-,-,-,
170108,900,-,-,-,-,-,-,-,-,-,
170108,1000,-,-,-,-,-,-,-,-,-,
170108,1100,-,-,-,-,-,-,-,-,-,
170108,1200,-,-,-,-,-,-,-,-,-,
170108,1300,-,-,-,-,-,-,-,-,-,
170108,1400,-,-,-,-,-,-,-,-,-,
170108,1500,-,-,-,-,-,-,-,-,-,
170108,1600,-,-,-,-,-,-,-,-,-,
170108,1700,-,-,-,-,-,-,-,-,-,
170108,1800,-,-,-,-,-,-,-,-,-,
170108,1900,-,-,-,-,-,-,-,-,-,
170108,2000,-,-,-,-,-,-,-,-,-,
170108,2100,-,-,-,-,-,-,-,-,-,
170108,2200,-,-,-,-,-,-,-,-,-,
170108,2300,-,-,-,-,-,-,-,-,-,
170108,2400,-,-,-,-,-,-,-,-,-,
170109,100,-,-,-,-,-,-,-,-,-,
170109,200,-,-,-,-,-,-,-,-,-,
170109,300,-,-,-,-,-,-,-,-,-,
170109,400,-,-,-,-,-,-,-,-,-,
170109,500,-,-,-,-,-,-,-,-,-,
170109,600,-,-,-,-,-,-,-,-,-,
170109,700,-,-,-,-,-,-,-,-,-,
170109,800,-,-,-,-,-,-,-,-,-,
170109,900,-,-,-,-,-,-,-,-,-,
170109,1000,-,-,-,-,-,-,-,-,-,
170109,1100,-,-,-,-,-,-,-,-,-,
170109,1200,-,-,-,-,-,-,-,-,-,
170109,1300,-,-,-,-,-,-,-,-,-,
170109,1400,-,-,-,-,-,-,-,-,-,
170109,1500,-,-,-,-,-,-,-,-,-,
170109,1600,-,-,-,-,-,-,-,-,-,
170109,1700,-,-,-,-,-,-,-,-,-,
170109,1800,-,-,-,-,-,-,-,-,-,
170109,1900,-,-,-,-,-,-,-,-,-,
170109,2000,-,-,-,-,-,-,-,-,-,
170109,2100,-,-,-,-,-,-,-,-,-,
170109,2200,-,-,-,-,-,-,-,-,-,
170109,2300,-,-,-,-,-,-,-,-,-,
170109,2400,-,-,-,-,-,-,-,-,-,
170110,100,-,-,-,-,-,-,-,-,-,
170110,200,-,-,-,-,-,-,-,-,-,
170110,300,-,-,-,-,-,-,-,-,-,
170110,400,-,-,-,-,-,-,-,-,-,
170110,500,-,-,-,-,-,-,-,-,-,
170110,600,-,-,-,-,-,-,-,-,-,
170110,700,-,-,-,-,-,-,-,-,-,
170110,800,-,-,-,-,-,-,-,-,-,
