??/?????/???,???????,CO,O3, NO2, SO2,PM10,Rel hum,Temp,Wind dir,Wind speed,PM2.5
,,at 3 m (ppm),at 3 m (ppb),at 3 m (ppb),at 3 m (ppb),at 3 m (???./??.?.),at 2 m (%RH),at 2 m ,at 10 m (Deg.M),at 10 m (m/s),at 3 m (???./??.?.)
170107,2400,0.6,14,2,3,62,73,28.1,175,0.2,
170108,100,0.5,30,0,4,51,74,28,204,0.6,
170108,200,0.5,31,0,5,48,73,27.9,203,0.9,
170108,300,0.5,21,0,6,59,74,27.7,210,0.2,
170108,400,0.8,9,1,5,61,75,27.5,233,0.4,
170108,500,0.7,0,5,4,58,73,27.5,248,0.5,
170108,600,0.8,0,6,4,59,71,27,266,1.2,
170108,700,0.9,0,7,4,80,80,26.7,279,0.6,
170108,800,,,,,76,83,27,319,0.4,
170108,900,1.5,0,16,6,96,78,27.5,267,0.2,
170108,1000,1.2,0,18,6,90,75,28,255,0.1,
170108,1100,0.8,0,12,4,83,76,27.9,327,0.5,
170108,1200,1,0,11,3,171,99,26,300,0.2,
170108,1300,0.9,0,8,3,138,100,26.1,284,0.5,
170108,1400,0.8,7,5,3,17,100,27.3,281,0.8,
170108,1500,0.7,14,2,3,33,100,27.1,274,1,
170108,1600,0.7,7,1,3,24,100,26.6,282,1,
170108,1700,0.8,0,1,3,28,98,26.7,279,0.3,
170108,1800,0.8,0,4,3,39,99,26.7,262,0.1,
170108,1900,0.8,0,0,3,38,100,26.5,222,0.1,
170108,2000,0.7,0,0,3,29,100,26,199,0.1,
170108,2100,0.7,0,0,3,28,100,26,145,0,
170108,2200,0.7,0,0,3,34,100,25.6,63,0,
170108,2300,0.8,0,0,3,51,100,25.4,129,0.1,
170108,2400,0.6,0,0,3,51,100,25.2,131,0.1,
170109,100,0.5,0,0,3,31,100,25.2,163,0.2,
170109,200,0.3,0,0,3,28,100,24.9,168,0.4,
170109,300,0.3,0,0,3,27,100,24.7,180,0.4,
170109,400,0.3,0,0,3,30,100,24.7,181,0.2,
170109,500,0.4,0,0,3,41,100,24.4,174,0.1,
170109,600,0.5,0,0,3,47,100,24.2,159,0.1,
170109,700,,,,,34,100,24.4,138,0.1,
170109,800,1.1,0,0,3,40,100,25,176,0,
170109,900,1.1,3,0,4,48,100,24.9,232,0,
170109,1000,1.3,5,1,4,56,100,24,286,0.3,
170109,1100,1.1,3,4,4,27,100,24.7,299,0.4,
170109,1200,1.2,0,10,4,41,100,26,263,0.8,
170109,1300,0.8,1,5,3,21,100,27.4,277,0.9,
170109,1400,0.7,0,0,3,39,92,27.9,278,1.2,
170109,1500,0.7,0,1,3,30,84,27.6,266,1.1,
170109,1600,0.9,0,1,3,37,86,27.1,275,0.7,
170109,1700,1,0,3,3,36,87,27,277,0.5,
170109,1800,1,0,6,3,66,100,25.2,74,0,
170109,1900,1.3,0,13,3,85,100,25.4,80,0,
170109,2000,0.8,2,8,2,73,100,25.2,160,0.1,
170109,2100,0.6,5,4,3,51,100,25,141,0.1,
170109,2200,0.6,5,4,3,46,100,24.7,151,0.1,
170109,2300,0.5,13,0,2,23,100,24.4,148,0.1,
170109,2400,0.5,11,0,2,42,100,24.3,116,0.1,
170110,100,0.5,13,0,2,36,100,24.2,91,0.1,
170110,200,0.5,13,0,2,32,100,24,97,0.1,
170110,300,0.5,10,0,3,28,100,23.9,156,0.1,
170110,400,0.5,10,0,2,20,100,23.9,115,0.1,
170110,500,0.5,9,0,2,29,100,24,192,0,
170110,600,,,,,17,100,24,77,0,
170110,700,1,6,0,3,28,100,24.1,210,0,
170110,800,1.8,6,2,3,40,100,24,262,0.2,
170110,900,1.5,5,10,4,61,100,24.9,297,0.4,
170110,1000,1.4,5,12,3,43,100,25,331,0,
170110,1100,1,3,10,2,57,100,24.8,323,0,
170110,1200,1,0,13,3,30,100,25.2,307,0,
170110,1300,1.1,0,16,3,31,100,26.4,297,0.3,
170110,1400,1.1,0,17,3,63,100,26.2,7,0.1,
170110,1500,1.2,0,22,4,95,100,25.8,160,0.1,
170110,1600,1.4,0,22,3,37,100,26,201,0,
170110,1700,1.1,0,19,2,34,100,26.4,189,0,
170110,1800,1.1,0,18,3,56,100,26,154,0.1,
170110,1900,1.1,0,18,3,61,100,26.2,173,0.1,
170110,2000,1.3,0,15,3,50,100,26.3,135,0,
170110,2100,2,0,10,3,51,100,26,351,0,
170110,2200,2.3,0,20,4,81,100,26.1,295,0.1,
170110,2300,1.5,0,18,4,27,100,26.1,273,0.2,
170110,2400,0.7,0,6,3,24,100,25.7,283,0.4,
170111,100,0.5,0,4,3,20,100,25.2,301,0.2,
170111,200,0.5,0,0,2,12,100,25,295,0.1,
170111,300,0.6,0,1,3,28,100,25,293,0.2,
170111,400,0.6,0,2,3,30,100,25,298,0.2,
170111,500,,,,,47,100,25.3,72,0,
170111,600,0.6,5,0,3,33,100,25,10,0.2,
170111,700,1.1,6,1,3,14,100,24.5,0,0.1,
170111,800,1.1,6,3,3,23,100,26,357,0.3,
170111,900,0.7,10,1,3,,100,27.4,5,0.3,
170111,1000,0.5,15,0,3,11,89,29,355,0.6,
170111,1100,0.4,11,0,3,14,71,29.6,52,0.3,
170111,1200,0.3,3,0,3,14,65,30.1,19,0.5,
170111,1300,0.3,1,0,3,26,62,30.3,21,0.6,
170111,1400,0.3,0,0,3,48,68,29.6,8,0.9,
170111,1500,0.4,0,0,4,55,71,29.4,2,0.7,
170111,1600,0.4,0,0,4,17,65,30,8,0.6,
170111,1700,0.5,8,0,4,39,66,29.6,357,0.6,
170111,1800,0.4,19,0,4,32,70,28.4,357,1.1,
170111,1900,0.5,19,1,4,54,79,27.7,354,0.9,
170111,2000,0.4,15,1,4,70,94,27.3,352,1.3,
170111,2100,0.4,11,0,4,6,86,27,359,0.8,
170111,2200,0.4,7,2,3,41,92,27,357,0.6,
170111,2300,0.3,4,0,4,43,100,26.8,355,1.1,
